model,tourType,variable,alternative,units,latentClass,value
modeChoice,mandatory,waitTime,walk,util/sec,eatout,0
modeChoice,mandatory,waitTime,walk,util/sec,othmaint,0
modeChoice,mandatory,waitTime,walk,util/sec,social,0
modeChoice,mandatory,waitTime,walk,util/sec,othdiscr,0
modeChoice,mandatory,waitTime,walk,util/sec,atwork,0
modeChoice,mandatory,waitTime,walk,util/sec,Nonwork,0
modeChoice,mandatory,waitTime,walk_transit,util/sec,work,-0.044
modeChoice,mandatory,waitTime,walk_transit,util/sec,Work,-0.044
modeChoice,mandatory,waitTime,walk_transit,util/sec,univ,-0.054
modeChoice,mandatory,waitTime,walk_transit,util/sec,school,-0.054
modeChoice,mandatory,waitTime,walk_transit,util/sec,escort,-0.056
modeChoice,mandatory,waitTime,walk_transit,util/sec,shopping,-0.056
modeChoice,mandatory,waitTime,walk_transit,util/sec,eatout,-0.056
modeChoice,mandatory,waitTime,walk_transit,util/sec,othmaint,-0.056
modeChoice,mandatory,waitTime,walk_transit,util/sec,social,-0.056
modeChoice,mandatory,waitTime,walk_transit,util/sec,othdiscr,-0.056
modeChoice,mandatory,waitTime,walk_transit,util/sec,atwork,-0.056
modeChoice,mandatory,waitTime,walk_transit,util/sec,Nonwork,-0.056
modeChoice,mandatory,transfer,bike,util/sec,work,0
modeChoice,mandatory,transfer,bike,util/sec,Work,0
modeChoice,mandatory,transfer,bike,util/sec,univ,0
modeChoice,mandatory,transfer,bike,util/sec,school,0
modeChoice,mandatory,transfer,bike,util/sec,escort,0
modeChoice,mandatory,transfer,bike,util/sec,shopping,0
modeChoice,mandatory,transfer,bike,util/sec,eatout,0
modeChoice,mandatory,transfer,bike,util/sec,othmaint,0
modeChoice,mandatory,transfer,bike,util/sec,social,0
modeChoice,mandatory,transfer,bike,util/sec,othdiscr,0
modeChoice,mandatory,transfer,bike,util/sec,atwork,0
modeChoice,mandatory,transfer,bike,util/sec,Nonwork,0
modeChoice,mandatory,transfer,car,util/sec,work,0
modeChoice,mandatory,transfer,car,util/sec,Work,0
modeChoice,mandatory,transfer,car,util/sec,univ,0
modeChoice,mandatory,transfer,car,util/sec,school,0
modeChoice,mandatory,transfer,car,util/sec,escort,0
modeChoice,mandatory,transfer,car,util/sec,shopping,0
modeChoice,mandatory,transfer,car,util/sec,eatout,0
modeChoice,mandatory,transfer,car,util/sec,othmaint,0
modeChoice,mandatory,transfer,car,util/sec,social,0
modeChoice,mandatory,transfer,car,util/sec,othdiscr,0
modeChoice,mandatory,transfer,car,util/sec,atwork,0
modeChoice,mandatory,transfer,car,util/sec,Nonwork,0
modeChoice,mandatory,transfer,drive_transit,util/sec,work,-0.33
modeChoice,mandatory,transfer,drive_transit,util/sec,Work,-0.33
modeChoice,mandatory,transfer,drive_transit,util/sec,univ,-0.407
modeChoice,mandatory,transfer,drive_transit,util/sec,school,-0.407
modeChoice,mandatory,transfer,drive_transit,util/sec,escort,-0.419
modeChoice,mandatory,transfer,drive_transit,util/sec,shopping,-0.419
modeChoice,mandatory,transfer,drive_transit,util/sec,eatout,-0.419
modeChoice,mandatory,transfer,drive_transit,util/sec,othmaint,-0.419
modeChoice,mandatory,transfer,drive_transit,util/sec,social,-0.419
modeChoice,mandatory,transfer,drive_transit,util/sec,othdiscr,-0.419
modeChoice,mandatory,transfer,drive_transit,util/sec,atwork,-0.419
modeChoice,mandatory,transfer,drive_transit,util/sec,Nonwork,-0.419
modeChoice,mandatory,transfer,ride_hail,util/sec,work,0
modeChoice,mandatory,transfer,ride_hail,util/sec,Work,0
modeChoice,mandatory,transfer,ride_hail,util/sec,univ,0
modeChoice,mandatory,transfer,ride_hail,util/sec,school,0
modeChoice,mandatory,transfer,ride_hail,util/sec,escort,0
modeChoice,mandatory,transfer,ride_hail,util/sec,shopping,0
modeChoice,mandatory,transfer,ride_hail,util/sec,eatout,0
modeChoice,mandatory,transfer,ride_hail,util/sec,othmaint,0
modeChoice,mandatory,transfer,ride_hail,util/sec,social,0
modeChoice,mandatory,transfer,ride_hail,util/sec,othdiscr,0
modeChoice,mandatory,transfer,ride_hail,util/sec,atwork,0
modeChoice,mandatory,transfer,ride_hail,util/sec,Nonwork,0
modeChoice,mandatory,transfer,walk,util/sec,work,0
modeChoice,mandatory,transfer,walk,util/sec,Work,0
modeChoice,mandatory,transfer,walk,util/sec,univ,0
modeChoice,mandatory,transfer,walk,util/sec,school,0
modeChoice,mandatory,transfer,walk,util/sec,escort,0
modeChoice,mandatory,transfer,walk,util/sec,shopping,0
modeChoice,mandatory,transfer,walk,util/sec,eatout,0
modeChoice,mandatory,transfer,walk,util/sec,othmaint,0
modeChoice,mandatory,transfer,walk,util/sec,social,0
modeChoice,mandatory,transfer,walk,util/sec,othdiscr,0
modeChoice,mandatory,transfer,walk,util/sec,atwork,0
modeChoice,mandatory,transfer,walk,util/sec,Nonwork,0
modeChoice,mandatory,transfer,walk_transit,util/sec,work,-0.11
modeChoice,mandatory,transfer,walk_transit,util/sec,Work,-0.11
modeChoice,mandatory,transfer,walk_transit,util/sec,univ,-0.136
modeChoice,mandatory,transfer,walk_transit,util/sec,school,-0.136
modeChoice,mandatory,transfer,walk_transit,util/sec,escort,-0.14
modeChoice,mandatory,transfer,walk_transit,util/sec,shopping,-0.14
modeChoice,mandatory,transfer,walk_transit,util/sec,eatout,-0.14
modeChoice,mandatory,transfer,walk_transit,util/sec,othmaint,-0.14
modeChoice,mandatory,transfer,walk_transit,util/sec,social,-0.14
modeChoice,mandatory,transfer,walk_transit,util/sec,othdiscr,-0.14
modeChoice,mandatory,transfer,walk_transit,util/sec,atwork,-0.14
modeChoice,mandatory,transfer,walk_transit,util/sec,Nonwork,-0.14
modeChoice,mandatory,shortWalkDist,bike,util/sec,work,0
modeChoice,mandatory,shortWalkDist,bike,util/sec,Work,0
modeChoice,mandatory,shortWalkDist,bike,util/sec,univ,0
modeChoice,mandatory,shortWalkDist,bike,util/sec,school,0
modeChoice,mandatory,shortWalkDist,bike,util/sec,escort,0
modeChoice,mandatory,shortWalkDist,bike,util/sec,shopping,0
modeChoice,mandatory,shortWalkDist,bike,util/sec,eatout,0
modeChoice,mandatory,shortWalkDist,bike,util/sec,othmaint,0
modeChoice,mandatory,shortWalkDist,bike,util/sec,social,0
modeChoice,mandatory,shortWalkDist,bike,util/sec,othdiscr,0
modeChoice,mandatory,shortWalkDist,bike,util/sec,atwork,0
modeChoice,mandatory,shortWalkDist,bike,util/sec,Nonwork,0
modeChoice,mandatory,shortWalkDist,car,util/sec,work,0
modeChoice,mandatory,shortWalkDist,car,util/sec,Work,0
modeChoice,mandatory,shortWalkDist,car,util/sec,univ,0
modeChoice,mandatory,shortWalkDist,car,util/sec,school,0
modeChoice,mandatory,shortWalkDist,car,util/sec,escort,0
modeChoice,mandatory,shortWalkDist,car,util/sec,shopping,0
modeChoice,mandatory,shortWalkDist,car,util/sec,eatout,0
