iteration,primary_purpose,autoWorkRatio,mode,tripTotals,tripPercents
2,othdiscr,no_auto,ride_hail_pooled,34,0.2738622633910592
2,othdiscr,no_auto,ride_hail_transit,2,0.01610954490535642
2,othdiscr,no_auto,walk,4901,39.47643979057592
2,othdiscr,no_auto,walk_transit,3479,28.022553362867498
2,othmaint,auto_deficient,bike,104,7.065217391304348
2,othmaint,auto_deficient,bike_transit,21,1.4266304347826086
2,othmaint,auto_deficient,car,474,32.20108695652174
2,othmaint,auto_deficient,drive_transit,9,0.6114130434782609
2,othmaint,auto_deficient,hov2,137,9.307065217391305
2,othmaint,auto_deficient,hov3,165,11.209239130434783
2,othmaint,auto_deficient,ride_hail,14,0.9510869565217392
2,othmaint,auto_deficient,ride_hail_pooled,15,1.0190217391304348
2,othmaint,auto_deficient,walk,414,28.125
2,othmaint,auto_deficient,walk_transit,119,8.084239130434783
2,othmaint,auto_sufficient,bike,615,2.314814814814815
2,othmaint,auto_sufficient,bike_transit,220,0.8280638361939174
2,othmaint,auto_sufficient,car,15779,59.39099668774466
2,othmaint,auto_sufficient,drive_transit,25,0.09409816320385427
2,othmaint,auto_sufficient,hov2,2003,7.539144835892804
2,othmaint,auto_sufficient,hov3,3289,12.379554351099067
2,othmaint,auto_sufficient,ride_hail,105,0.3952122854561879
2,othmaint,auto_sufficient,ride_hail_pooled,64,0.2408912978018669
2,othmaint,auto_sufficient,walk,3613,13.599066546221017
2,othmaint,auto_sufficient,walk_transit,855,3.218157181571816
2,othmaint,no_auto,bike,1016,13.83442265795207
2,othmaint,no_auto,bike_transit,368,5.010893246187364
2,othmaint,no_auto,hov2,505,6.876361655773421
2,othmaint,no_auto,hov3,153,2.083333333333333
2,othmaint,no_auto,ride_hail,29,0.394880174291939
2,othmaint,no_auto,ride_hail_pooled,16,0.2178649237472767
2,othmaint,no_auto,ride_hail_transit,1,0.013616557734204794
2,othmaint,no_auto,walk,2381,32.42102396514161
2,othmaint,no_auto,walk_transit,2875,39.14760348583878
2,school,auto_deficient,bike,272,5.426975259377494
2,school,auto_deficient,bike_transit,85,1.695929768555467
2,school,auto_deficient,car,445,8.878691141260973
2,school,auto_deficient,drive_transit,9,0.17956903431763765
2,school,auto_deficient,hov2,568,11.332801276935355
2,school,auto_deficient,hov3,1850,36.91141260973663
2,school,auto_deficient,ride_hail,8,0.1596169193934557
2,school,auto_deficient,ride_hail_pooled,11,0.2194732641660016
2,school,auto_deficient,walk,1362,27.174780526735837
2,school,auto_deficient,walk_transit,402,8.02075019952115
2,school,auto_sufficient,bike,2181,3.5610488848251314
2,school,auto_sufficient,bike_transit,455,0.742905659145087
2,school,auto_sufficient,car,5566,9.087940436926493
2,school,auto_sufficient,drive_transit,62,0.10123110080658329
2,school,auto_sufficient,hov2,9691,15.823074159945138
2,school,auto_sufficient,hov3,31615,51.619697612905334
2,school,auto_sufficient,ride_hail,64,0.10449662018744081
2,school,auto_sufficient,ride_hail_pooled,42,0.06857590699800803
